各教育程度別無工作經驗者每月平均經常性薪資(平均薪資)(單位：元),,,,,,,,,,,,,,,,,,
　　技藝、機械設備操作及組裝人員,"28,699 ","28,985 ","28,026 ",－,－,－,"27,665 ","28,145 ","26,809 ","27,757 ","28,146 ","26,998 ","30,447 ","30,664 ","30,074 ",－,－,－
　　基層技術工及勞力工,"22,775 ","22,712 ","22,621 ","22,698 ","22,525 ","22,253 ","22,816 ","22,828 ","22,867 ",－,－,－,－,－,－,－,－,－
醫療保健服務業,"26,168 ","26,867 ","27,520 ","20,606 ","21,495 ","22,117 ","22,292 ","22,801 ","23,364 ","24,436 ","25,136 ","25,619 ","28,507 ","28,853 ","29,664 ","33,043 ","33,329 ","33,935 "
　　專業人員,"34,741 ","35,613 ","36,094 ",－,－,－,－,－,－,－,－,－,"33,020 ","34,125 ","34,405 ","37,647 ","37,801 ","38,840 "
　　技術員及助理專業人員,"28,451 ","28,643 ","29,660 ",－,－,－,－,－,－,"26,030 ","26,758 ","27,496 ","28,703 ","28,465 ","29,800 ","32,279 ","32,050 ","33,028 "
　　事務支援人員,"23,950 ","24,475 ","24,838 ",－,－,－,"21,584 ","22,144 ","22,491 ","22,754 ","23,471 ","23,915 ","24,873 ","25,298 ","25,762 ","27,998 ","28,639 ","28,516 "
　　服務及銷售工作人員,"22,543 ","23,798 ","23,849 ","20,811 ","22,251 ","22,876 ","22,112 ","23,313 ","23,321 ","23,262 ","24,164 ","24,162 ","24,061 ","25,260 ","25,106 ",－,－,－
　　技藝、機械設備操作及組裝人員,"26,128 ","26,192 ","27,338 ",－,－,－,"24,914 ","24,788 ","25,974 ","26,253 ","26,531 ","27,460 ","27,702 ","27,409 ","29,009 ",－,－,－
　　基層技術工及勞力工,"20,785 ","21,239 ","21,863 ","20,455 ","20,850 ","21,516 ","21,092 ","21,558 ","22,175 ",－,－,－,－,－,－,－,－,－
藝術、娛樂及休閒服務業,"22,886 ","23,475 ","24,150 ","20,396 ","20,898 ","22,013 ","21,365 ","21,687 ","22,531 ","22,838 ","23,365 ","24,271 ","24,164 ","25,204 ","25,615 ","28,530 ","28,674 ","28,143 "
　　專業人員,"27,932 ","29,660 ","29,129 ",－,－,－,－,－,－,－,－,－,"26,447 ","28,790 ","28,351 ","31,258 ","31,400 ","30,491 "
　　技術員及助理專業人員,"24,681 ","26,806 ","26,953 ",－,－,－,－,－,－,"23,590 ","25,597 ","26,058 ","24,359 ","26,537 ","26,523 ","28,767 ","29,643 ","29,445 "
　　事務支援人員,"22,947 ","22,766 ","23,504 ",－,－,－,"21,446 ","21,584 ","22,534 ","22,500 ","22,499 ","23,151 ","23,730 ","23,602 ","24,244 ","26,699 ","25,144 ","25,464 "
　　服務及銷售工作人員,"21,845 ","22,632 ","23,329 ","20,565 ","21,779 ","22,642 ","21,343 ","22,322 ","22,652 ","22,260 ","22,731 ","23,815 ","22,611 ","23,419 ","24,360 ",－,－,－
　　技藝、機械設備操作及組裝人員,"24,008 ","23,723 ","24,754 ",－,－,－,"22,892 ","22,892 ","23,751 ","24,102 ","23,835 ","25,070 ","25,952 ","24,895 ","25,739 ",－,－,－
　　基層技術工及勞力工,"20,664 ","20,565 ","21,787 ","20,318 ","20,439 ","21,659 ","20,867 ","20,656 ","21,892 ",－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,
各教育程度別無工作經驗者每月平均經常性薪資(女性薪資)(單位：元),,,,,,,,,,,,,,,,,,
,總平均,,,國中及以下,,,高中或高職,,,專科,,,大學,,,研究所及以上,,
,102,103,104,102,103,104,102,103,104,102,103,104,102,103,104,102,103,104
住宿及餐飲業,"22,432 ","22,837 ","23,640 ","19,907 ","20,560 ","21,742 ","21,077 ","21,340 ","22,480 ","22,665 ","22,765 ","23,631 ","24,106 ","24,539 ","25,064 ","27,384 ","27,296 ","28,302 "
　　專業人員,"28,487 ","29,224 ","29,272 ",－,－,－,－,－,－,－,－,－,"27,629 ","28,748 ","28,363 ","30,280 ","30,070 ","30,938 "
　　技術員及助理專業人員,"25,539 ","25,480 ","26,810 ",－,－,－,－,－,－,"24,672 ","24,733 ","25,802 ","25,854 ","25,628 ","26,936 ","26,498 ","26,340 ","28,439 "
　　事務支援人員,"23,165 ","23,750 ","24,238 ",－,－,－,"21,720 ","22,183 ","23,306 ","22,930 ","23,258 ","23,648 ","23,801 ","24,533 ","24,635 ","25,579 ","25,934 ","26,576 "
　　服務及銷售工作人員,"21,295 ","21,483 ","22,690 ","20,155 ","20,794 ","22,084 ","20,911 ","20,972 ","22,220 ","21,767 ","21,642 ","22,884 ","22,118 ","22,485 ","23,537 ",－,－,－
　　技藝、機械設備操作及組裝人員,"23,832 ","23,840 ","24,819 ",－,－,－,"22,891 ","23,044 ","23,799 ","23,989 ","23,975 ","24,720 ","25,054 ","24,676 ","26,139 ",－,－,－
　　基層技術工及勞力工,"19,994 ","20,560 ","21,724 ","19,602 ","20,276 ","21,361 ","20,293 ","20,778 ","22,007 ",－,－,－,－,－,－,－,－,－
金融及保險業,"29,690 ","30,235 ","30,629 ","22,998 ","22,604 ","22,546 ","24,303 ","24,265 ","24,618 ","26,486 ","26,730 ","26,827 ","30,105 ","30,454 ","30,616 ","34,960 ","35,577 ","35,794 "
　　專業人員,"35,019 ","35,886 ","35,871 ",－,－,－,－,－,－,－,－,－,"33,226 ","33,626 ","33,584 ","37,013 ","38,085 ","38,240 "
　　技術員及助理專業人員,"30,817 ","31,090 ","31,000 ",－,－,－,－,－,－,"27,260 ","27,261 ","27,125 ","30,189 ","30,444 ","30,441 ","34,983 ","34,926 ","35,011 "
　　事務支援人員,"28,276 ","28,689 ","29,285 ",－,－,－,"24,188 ","23,782 ","25,080 ","26,058 ","26,453 ","27,044 ","28,564 ","28,929 ","29,200 ","32,979 ","33,566 ","34,025 "
　　服務及銷售工作人員,"25,347 ","25,897 ","26,067 ","23,198 ","22,688 ","22,903 ","23,416 ","24,250 ","23,714 ","25,289 ","25,668 ","25,730 ","27,171 ","27,998 ","28,058 ",－,－,－
　　技藝、機械設備操作及組裝人員,"28,483 ","28,466 ","27,156 ",－,－,－,"27,210 ","27,040 ","24,962 ","27,488 ","27,734 ","25,893 ","30,397 ","30,437 ","29,806 ",－,－,－
　　基層技術工及勞力工,"22,595 ","22,489 ","22,571 ","22,698 ","22,412 ","22,190 ","22,537 ","22,535 ","22,826 ",－,－,－,－,－,－,－,－,－
醫療保健服務業,"25,895 ","26,736 ","27,362 ","20,514 ","21,469 ","21,957 ","22,127 ","22,690 ","23,193 ","24,216 ","24,990 ","25,504 ","28,189 ","28,720 ","29,534 ","32,796 ","33,248 ","33,858 "
　　專業人員,"34,134 ","35,356 ","35,820 ",－,－,－,－,－,－,－,－,－,"32,306 ","33,850 ","34,110 ","37,337 ","37,678 ","38,736 "
　　技術員及助理專業人員,"28,145 ","28,423 ","29,444 ",－,－,－,－,－,－,"25,725 ","26,534 ","27,335 ","28,398 ","28,231 ","29,592 ","32,149 ","31,971 ","32,876 "
　　事務支援人員,"23,751 ","24,356 ","24,681 ",－,－,－,"21,410 ","22,063 ","22,368 ","22,582 ","23,399 ","23,805 ","24,813 ","25,206 ","25,667 ","27,881 ","28,594 ","28,516 "
　　服務及銷售工作人員,"22,477 ","23,770 ","23,792 ","20,782 ","22,227 ","22,742 ","22,064 ","23,261 ","23,229 ","23,102 ","24,131 ","24,162 ","24,091 ","25,243 ","25,106 ",－,－,－
　　技藝、機械設備操作及組裝人員,"26,121 ","26,062 ","27,287 ",－,－,－,"24,899 ","24,621 ","25,850 ","26,217 ","26,380 ","27,447 ","27,650 ","27,316 ","28,943 ",－,－,－
　　基層技術工及勞力工,"20,646 ","21,229 ","21,768 ","20,322 ","20,837 ","21,365 ","20,947 ","21,544 ","22,131 ",－,－,－,－,－,－,－,－,－
藝術、娛樂及休閒服務業,"22,652 ","23,245 ","23,926 ","20,140 ","20,762 ","21,932 ","21,228 ","21,532 ","22,386 ","22,607 ","23,160 ","24,038 ","23,952 ","24,968 ","25,366 ","28,323 ","28,563 ","28,033 "
　　專業人員,"27,776 ","29,646 ","28,933 ",－,－,－,－,－,－,－,－,－,"26,297 ","28,706 ","28,108 ","31,102 ","31,308 ","30,348 "
　　技術員及助理專業人員,"24,514 ","26,703 ","26,808 ",－,－,－,－,－,－,"23,339 ","25,528 ","25,964 ","24,259 ","26,297 ","26,158 ","28,580 ","29,643 ","29,414 "
　　事務支援人員,"22,745 ","22,633 ","23,371 ",－,－,－,"21,347 ","21,373 ","22,407 ","22,371 ","22,495 ","23,075 ","23,510 ","23,437 ","24,125 ","26,563 ","24,935 ","25,430 "
　　服務及銷售工作人員,"21,631 ","22,445 ","23,150 ","20,210 ","21,449 ","22,549 ","21,204 ","22,237 ","22,440 ","22,052 ","22,457 ","23,614 ","22,352 ","23,389 ","24,286 ",－,－,－
　　技藝、機械設備操作及組裝人員,"23,948 ","23,386 ","24,604 ",－,－,－,"22,756 ","22,758 ","23,513 ","23,865 ","23,476 ","24,938 ","25,905 ","24,340 ","25,613 ",－,－,－
　　基層技術工及勞力工,"20,546 ","20,430 ","21,757 ","20,111 ","20,401 ","21,596 ","20,806 ","20,453 ","21,892 ",－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,
各教育程度別無工作經驗者每月平均經常性薪資(男性薪資)(單位：元),,,,,,,,,,,,,,,,,,
,總平均,,,國中及以下,,,高中或高職,,,專科,,,大學,,,研究所及以上,,
,102,103,104,102,103,104,102,103,104,102,103,104,102,103,104,102,103,104
住宿及餐飲業,"22,613 ","23,198 ","23,831 ","20,094 ","20,836 ","21,957 ","21,293 ","21,685 ","22,641 ","22,865 ","23,190 ","23,800 ","24,191 ","24,755 ","25,274 ","27,470 ","27,330 ","28,397 "
　　專業人員,"28,491 ","29,277 ","29,536 ",－,－,－,－,－,－,－,－,－,"27,533 ","28,789 ","28,794 ","30,408 ","30,144 ","30,938 "
　　技術員及助理專業人員,"25,672 ","25,696 ","26,817 ",－,－,－,－,－,－,"24,950 ","25,333 ","25,802 ","25,986 ","25,637 ","26,955 ","26,498 ","26,377 ","28,439 "
　　事務支援人員,"23,282 ","23,998 ","24,396 ",－,－,－,"21,694 ","22,385 ","23,220 ","22,938 ","23,373 ","23,824 ","24,015 ","24,873 ","24,970 ","25,803 ","25,934 ","26,673 "
　　服務及銷售工作人員,"21,557 ","21,821 ","22,842 ","20,417 ","21,224 ","22,344 ","21,207 ","21,250 ","22,439 ","21,952 ","22,100 ","23,003 ","22,346 ","22,647 ","23,560 ",－,－,－
　　技藝、機械設備操作及組裝人員,"24,047 ","24,231 ","25,060 ",－,－,－,"23,154 ","23,508 ","23,931 ","24,248 ","24,398 ","25,077 ","25,137 ","24,956 ","26,405 ",－,－,－
　　基層技術工及勞力工,"20,116 ","20,799 ","21,884 ","19,697 ","20,384 ","21,476 ","20,433 ","21,133 ","22,181 ",－,－,－,－,－,－,－,－,－
金融及保險業,"29,847 ","30,525 ","30,957 ","22,998 ","22,667 ","22,609 ","24,468 ","25,091 ","25,318 ","26,615 ","26,990 ","27,037 ","30,225 ","30,701 ","30,961 ","35,131 ","35,859 ","36,072 "
　　專業人員,"35,017 ","35,910 ","36,215 ",－,－,－,－,－,－,－,－,－,"33,343 ","33,657 ","33,828 ","36,875 ","38,163 ","38,601 "
　　技術員及助理專業人員,"30,950 ","31,394 ","31,073 ",－,－,－,－,－,－,"27,172 ","27,468 ","27,186 ","30,251 ","30,683 ","30,549 ","35,283 ","35,309 ","35,012 "
　　事務支援人員,"28,507 ","29,027 ","29,632 ",－,－,－,"23,894 ","24,172 ","25,161 ","26,278 ","26,689 ","27,095 ","28,784 ","29,218 ","29,713 ","33,293 ","33,927 ","34,346 "
　　服務及銷售工作人員,"25,298 ","25,953 ","26,298 ","23,198 ","22,688 ","22,903 ","23,462 ","24,328 ","24,493 ","25,307 ","25,668 ","25,652 ","26,962 ","28,152 ","28,363 ",－,－,－
　　技藝、機械設備操作及組裝人員,"28,890 ","29,425 ","28,705 ",－,－,－,"28,055 ","28,963 ","27,976 ","27,990 ","28,511 ","27,873 ","30,494 ","30,874 ","30,315 ",－,－,－
　　基層技術工及勞力工,"22,944 ","22,923 ","22,671 ","22,698 ","22,623 ","22,315 ","23,067 ","23,122 ","22,909 ",－,－,－,－,－,－,－,－,－
醫療保健服務業,"26,452 ","27,005 ","27,686 ","20,702 ","21,521 ","22,283 ","22,464 ","22,917 ","23,548 ","24,675 ","25,290 ","25,742 ","28,837 ","28,993 ","29,800 ","33,287 ","33,410 ","34,012 "
　　專業人員,"35,346 ","35,885 ","36,389 ",－,－,－,－,－,－,－,－,－,"33,751 ","34,429 ","34,735 ","37,942 ","37,925 ","38,945 "
　　技術員及助理專業人員,"28,782 ","28,877 ","29,889 ",－,－,－,－,－,－,"26,377 ","27,001 ","27,674 ","29,027 ","28,712 ","30,018 ","32,416 ","32,131 ","33,180 "
　　事務支援人員,"24,173 ","24,603 ","25,013 ",－,－,－,"21,787 ","22,233 ","22,642 ","22,959 ","23,551 ","24,040 ","24,937 ","25,397 ","25,864 ","28,114 ","28,683 ","28,516 "
　　服務及銷售工作人員,"22,611 ","23,827 ","23,907 ","20,841 ","22,276 ","23,007 ","22,163 ","23,366 ","23,417 ","23,424 ","24,198 ","24,162 ","24,030 ","25,277 ","25,106 ",－,－,－
　　技藝、機械設備操作及組裝人員,"26,135 ","26,313 ","27,385 ",－,－,－,"24,928 ","24,942 ","26,083 ","26,287 ","26,668 ","27,473 ","27,754 ","27,499 ","29,071 ",－,－,－
　　基層技術工及勞力工,"20,935 ","21,250 ","21,966 ","20,598 ","20,863 ","21,679 ","21,244 ","21,572 ","22,223 ",－,－,－,－,－,－,－,－,－
藝術、娛樂及休閒服務業,"23,134 ","23,717 ","24,389 ","20,677 ","21,064 ","22,102 ","21,519 ","21,857 ","22,697 ","23,080 ","23,574 ","24,514 ","24,381 ","25,436 ","25,865 ","28,733 ","28,790 ","28,251 "
　　專業人員,"28,077 ","29,673 ","29,320 ",－,－,－,－,－,－,－,－,－,"26,587 ","28,861 ","28,584 ","31,402 ","31,500 ","30,633 "
　　技術員及助理專業人員,"24,835 ","26,906 ","27,074 ",－,－,－,－,－,－,"23,813 ","25,658 ","26,134 ","24,453 ","26,786 ","26,823 ","28,942 ","29,643 ","29,473 "
　　事務支援人員,"23,204 ","22,914 ","23,672 ",－,－,－,"21,584 ","21,814 ","22,705 ","22,670 ","22,504 ","23,255 ","23,991 ","23,784 ","24,388 ","26,841 ","25,369 ","25,498 "
　　服務及銷售工作人員,"22,064 ","22,848 ","23,523 ","20,902 ","22,186 ","22,739 ","21,494 ","22,436 ","22,899 ","22,469 ","23,025 ","24,025 ","22,871 ","23,449 ","24,436 ",－,－,－
　　技藝、機械設備操作及組裝人員,"24,052 ","24,005 ","24,884 ",－,－,－,"22,981 ","23,011 ","23,949 ","24,279 ","24,137 ","25,185 ","25,996 ","25,319 ","25,856 ",－,－,－
　　基層技術工及勞力工,"20,800 ","20,715 ","21,819 ","20,562 ","20,486 ","21,729 ","20,937 ","20,867 ","21,891 ",－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,
各教育程度別無工作經驗者每月平均經常性薪資(女/男(%)),,,,,,,,,,,,,,,,,,
,總平均,,,國中及以下,,,高中或高職,,,專科,,,大學,,,研究所及以上,,
,102,103,104,102,103,104,102,103,104,102,103,104,102,103,104,102,103,104
住宿及餐飲業,99 ,98 ,99 ,99 ,99 ,99 ,99 ,98 ,99 ,99 ,98 ,99 ,100 ,99 ,99 ,100 ,100 ,100 
　　專業人員,100 ,100 ,99 ,－,－,－,－,－,－,－,－,－,100 ,100 ,99 ,100 ,100 ,100 
　　技術員及助理專業人員,99 ,99 ,100 ,－,－,－,－,－,－,99 ,98 ,100 ,99 ,100 ,100 ,100 ,100 ,100 
　　事務支援人員,100 ,99 ,99 ,－,－,－,100 ,99 ,100 ,100 ,100 ,99 ,99 ,99 ,99 ,99 ,100 ,100 
　　服務及銷售工作人員,99 ,98 ,99 ,99 ,98 ,99 ,99 ,99 ,99 ,99 ,98 ,99 ,99 ,99 ,100 ,－,－,－
　　技藝、機械設備操作及組裝人員,99 ,98 ,99 ,－,－,－,99 ,98 ,99 ,99 ,98 ,99 ,100 ,99 ,99 ,－,－,－
　　基層技術工及勞力工,99 ,99 ,99 ,100 ,99 ,99 ,99 ,98 ,99 ,－,－,－,－,－,－,－,－,－
金融及保險業,99 ,99 ,99 ,100 ,100 ,100 ,99 ,97 ,97 ,100 ,99 ,99 ,100 ,99 ,99 ,100 ,99 ,99 
　　專業人員,100 ,100 ,99 ,－,－,－,－,－,－,－,－,－,100 ,100 ,99 ,100 ,100 ,99 
　　技術員及助理專業人員,100 ,99 ,100 ,－,－,－,－,－,－,100 ,99 ,100 ,100 ,99 ,100 ,99 ,99 ,100 
　　事務支援人員,99 ,99 ,99 ,－,－,－,101 ,98 ,100 ,99 ,99 ,100 ,99 ,99 ,98 ,99 ,99 ,99 
　　服務及銷售工作人員,100 ,100 ,99 ,100 ,100 ,100 ,100 ,100 ,97 ,100 ,100 ,100 ,101 ,99 ,99 ,－,－,－
　　技藝、機械設備操作及組裝人員,99 ,97 ,95 ,－,－,－,97 ,93 ,89 ,98 ,97 ,93 ,100 ,99 ,98 ,－,－,－
　　基層技術工及勞力工,98 ,98 ,100 ,100 ,99 ,99 ,98 ,97 ,100 ,－,－,－,－,－,－,－,－,－
醫療保健服務業,98 ,99 ,99 ,99 ,100 ,99 ,99 ,99 ,98 ,98 ,99 ,99 ,98 ,99 ,99 ,99 ,100 ,100 
　　專業人員,97 ,99 ,98 ,－,－,－,－,－,－,－,－,－,96 ,98 ,98 ,98 ,99 ,99 
　　技術員及助理專業人員,98 ,98 ,99 ,－,－,－,－,－,－,98 ,98 ,99 ,98 ,98 ,99 ,99 ,100 ,99 
　　事務支援人員,98 ,99 ,99 ,－,－,－,98 ,99 ,99 ,98 ,99 ,99 ,100 ,99 ,99 ,99 ,100 ,100 
　　服務及銷售工作人員,99 ,100 ,100 ,100 ,100 ,99 ,100 ,100 ,99 ,99 ,100 ,100 ,100 ,100 ,100 ,－,－,－
　　技藝、機械設備操作及組裝人員,100 ,99 ,100 ,－,－,－,100 ,99 ,99 ,100 ,99 ,100 ,100 ,99 ,100 ,－,－,－
　　基層技術工及勞力工,99 ,100 ,99 ,99 ,100 ,99 ,99 ,100 ,100 ,－,－,－,－,－,－,－,－,－
藝術、娛樂及休閒服務業,98 ,98 ,98 ,97 ,99 ,99 ,99 ,99 ,99 ,98 ,98 ,98 ,98 ,98 ,98 ,99 ,99 ,99 
　　專業人員,99 ,100 ,99 ,－,－,－,－,－,－,－,－,－,99 ,99 ,98 ,99 ,99 ,99 
　　技術員及助理專業人員,99 ,99 ,99 ,－,－,－,－,－,－,98 ,100 ,99 ,99 ,98 ,98 ,99 ,100 ,100 
　　事務支援人員,98 ,99 ,99 ,－,－,－,99 ,98 ,99 ,99 ,100 ,99 ,98 ,99 ,99 ,99 ,98 ,100 
　　服務及銷售工作人員,98 ,98 ,98 ,97 ,97 ,99 ,99 ,99 ,98 ,98 ,98 ,98 ,98 ,100 ,99 ,－,－,－
　　技藝、機械設備操作及組裝人員,100 ,97 ,99 ,－,－,－,99 ,99 ,98 ,98 ,97 ,99 ,100 ,96 ,99 ,－,－,－
　　基層技術工及勞力工,99 ,99 ,100 ,98 ,100 ,99 ,99 ,98 ,100 ,－,－,－,－,－,－,－,－,－
