各教育程度別無工作經驗者每月平均經常性薪資(平均薪資)(單位：元),,,,,,,,,,,,,,,,,,,,,,,,
,總平均,,,,國中及以下,,,,高中或高職,,,,專科,,,,大學,,,,研究所及以上,,,
　　服務工作人員及售貨員,"18,699 ","18,802 ","18,907 ","18,935 ","16,849 ","17,522 ","17,710 ","18,036 ","18,185 ","18,071 ","18,460 ","18,519 ","19,004 ","18,919 ","19,551 ","19,511 ","19,847 ","19,768 ","20,684 ","20,139 ","20,378 ","21,368 ",－,－
　　技術工及機械設備操作工,"22,416 ","22,847 ","23,174 ","23,820 ","19,641 ","20,071 ","21,471 ","20,008 ","21,656 ","21,883 ","23,089 ","23,181 ","22,806 ","22,981 ","23,917 ","24,726 ","23,685 ","24,553 ","23,971 ","26,520 ","24,505 ","25,327 ",－,－
　　非技術工及體力工,"17,726 ","18,273 ","18,704 ","18,472 ","17,298 ","17,909 ","18,441 ","18,028 ","18,155 ","18,660 ","18,953 ","18,878 ",－,－,－,－,－,－,－,－,－,－,－,－
金融、保險業,"28,771 ","28,316 ","28,806 ","29,339 ","20,290 ","20,434 ","20,207 ","21,490 ","23,517 ","23,692 ","22,885 ","23,355 ","27,400 ","26,754 ","26,691 ","26,898 ","30,328 ","29,881 ","30,315 ","30,507 ","32,994 ","34,686 ","36,247 ","36,445 "
　　專業人員,"32,779 ","32,238 ","32,850 ","32,792 ",－,－,－,－,－,－,－,－,"29,055 ","28,295 ","28,266 ","27,900 ","32,725 ","32,146 ","32,215 ","32,118 ","36,097 ","36,344 ","37,727 ","37,864 "
　　技術員及助理專業人員,"29,111 ","28,704 ","29,996 ","29,951 ",－,－,－,－,"24,301 ","23,997 ","23,954 ","23,772 ","27,550 ","26,732 ","27,107 ","26,952 ","30,161 ","29,711 ","30,688 ","30,632 ","32,645 ","34,418 ","36,508 ","36,139 "
　　事務工作人員,"27,868 ","27,643 ","28,055 ","28,669 ","20,269 ","20,133 ","20,695 ","22,105 ","23,340 ","23,533 ","22,681 ","23,009 ","26,667 ","26,222 ","26,165 ","26,599 ","29,209 ","28,976 ","29,270 ","29,796 ","31,687 ","34,424 ","34,876 ","35,305 "
　　服務工作人員及售貨員,"27,285 ","26,953 ","25,363 ","25,557 ","19,516 ","20,625 ","19,352 ","22,248 ","23,892 ","24,372 ","23,338 ","23,656 ","26,846 ","26,190 ","25,396 ","25,528 ","29,159 ","28,559 ","29,084 ","27,861 ","31,310 ","32,781 ",－,－
　　技術工及機械設備操作工,"26,817 ","26,592 ","25,171 ","26,647 ","22,385 ","22,440 ","21,278 ","22,611 ","23,799 ","24,564 ","23,050 ","24,266 ","26,302 ","25,979 ","25,155 ","26,906 ","29,187 ","28,703 ","29,147 ","30,762 ","31,463 ","32,160 ",－,－
　　非技術工及體力工,"20,403 ","20,827 ","20,209 ","20,725 ","19,462 ","19,248 ","19,294 ","19,204 ","21,120 ","21,862 ","20,819 ","21,848 ",－,－,－,－,－,－,－,－,－,－,－,－
醫療保健服務業,"24,912 ","25,958 ","24,604 ","25,556 ","19,166 ","19,612 ","19,348 ","19,634 ","21,287 ","21,801 ","20,624 ","21,060 ","24,979 ","25,642 ","24,243 ","25,135 ","27,297 ","29,011 ","27,662 ","28,572 ","28,926 ","32,594 ","32,872 ","34,277 "
　　專業人員,"31,062 ","32,958 ","30,758 ","32,434 ",－,－,－,－,－,－,－,－,"27,915 ","28,503 ","26,659 ","28,256 ","31,492 ","33,696 ","31,370 ","33,175 ","33,912 ","38,784 ","37,323 ","38,799 "
　　技術員及助理專業人員,"27,187 ","27,727 ","26,097 ","27,276 ",－,－,－,－,"23,001 ","23,483 ","21,728 ","22,711 ","26,562 ","26,376 ","25,015 ","25,955 ","28,545 ","29,563 ","28,107 ","28,883 ","29,912 ","33,102 ","31,573 ","33,172 "
　　事務工作人員,"22,971 ","23,627 ","22,332 ","22,850 ","18,633 ","19,008 ","18,790 ","19,443 ","20,653 ","20,710 ","19,522 ","19,898 ","22,616 ","23,134 ","21,615 ","22,123 ","24,738 ","25,729 ","24,618 ","24,791 ","26,271 ","29,813 ","28,389 ","29,371 "
　　服務工作人員及售貨員,"21,455 ","22,994 ","21,746 ","22,095 ","19,053 ","19,898 ","19,954 ","20,129 ","20,318 ","21,519 ","20,722 ","21,046 ","21,558 ","23,198 ","22,631 ","22,762 ","22,870 ","24,911 ","24,421 ","24,675 ","23,888 ","27,272 ",－,－
　　技術工及機械設備操作工,"24,099 ","25,173 ","23,341 ","24,405 ","20,824 ","20,979 ","20,474 ","21,469 ","23,194 ","23,374 ","22,350 ","22,875 ","24,400 ","25,697 ","24,353 ","25,165 ","25,289 ","27,397 ","25,925 ","27,397 ","26,489 ","28,855 ",－,－
　　非技術工及體力工,"19,167 ","19,712 ","19,203 ","19,089 ","18,606 ","19,033 ","18,569 ","18,293 ","19,702 ","20,400 ","19,708 ","19,733 ",－,－,－,－,－,－,－,－,－,－,－,－
文化、運動及休閒服務業,"22,632 ","22,728 ","22,215 ","22,173 ","17,886 ","17,587 ","17,965 ","18,089 ","20,097 ","19,756 ","19,403 ","19,491 ","22,964 ","22,876 ","22,217 ","22,368 ","24,954 ","25,194 ","25,005 ","24,636 ","26,093 ","27,601 ","29,027 ","28,138 "
　　專業人員,"27,624 ","27,673 ","27,628 ","26,861 ",－,－,－,－,－,－,－,－,"25,610 ","25,414 ","25,186 ","24,655 ","27,855 ","28,062 ","27,752 ","27,197 ","29,455 ","30,513 ","31,491 ","30,150 "
　　技術員及助理專業人員,"24,522 ","24,174 ","23,889 ","23,763 ",－,－,－,－,"21,834 ","20,895 ","20,844 ","20,541 ","23,994 ","23,517 ","22,925 ","23,129 ","25,635 ","25,654 ","25,529 ","25,111 ","26,655 ","28,015 ","28,754 ","27,874 "
　　事務工作人員,"21,856 ","22,004 ","21,596 ","21,764 ","17,635 ","17,365 ","18,039 ","18,338 ","19,908 ","19,513 ","19,229 ","19,868 ","21,802 ","21,970 ","21,431 ","21,667 ","23,957 ","24,257 ","23,957 ","23,603 ","24,902 ","26,738 ","26,822 ","26,427 "
　　服務工作人員及售貨員,"20,548 ","20,709 ","19,242 ","19,506 ","17,993 ","17,640 ","17,296 ","18,084 ","19,372 ","19,305 ","18,628 ","18,470 ","20,962 ","20,813 ","19,809 ","20,366 ","22,329 ","22,693 ","21,685 ","21,865 ","23,180 ","24,988 ",－,－
　　技術工及機械_]備操作工,"22,732 ","22,233 ","22,011 ","21,584 ","19,251 ","18,591 ","19,830 ","19,551 ","21,779 ","20,510 ","21,254 ","20,809 ","23,197 ","22,359 ","22,638 ","22,346 ","24,042 ","23,983 ","24,700 ","23,585 ","25,468 ","26,540 ",－,－
　　非技術工及體力工,"17,863 ","17,917 ","17,854 ","17,896 ","17,334 ","17,101 ","17,532 ","17,219 ","18,395 ","18,733 ","18,172 ","18,488 ",－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,,,,,
各教育程度別無工作經驗者每月平均經常性薪資(男性薪資)(單位：元),,,,,,,,,,,,,,,,,,,,,,,,
,總平均,,,,國中及以下,,,,高中或高職,,,,專科,,,,大學,,,,研究所及以上,,,
,92,93,94,95,92,93,94,95,92,93,94,95,92,93,94,95,92,93,94,95,92,93,94,95
住宿及餐飲業,"21,235 ","21,243 ","21,287 ","21,365 ","18,115 ","18,555 ","18,937 ","18,937 ","19,952 ","19,603 ","20,278 ","19,993 ","21,816 ","21,383 ","21,881 ","22,016 ","22,900 ","23,021 ","23,449 ","23,408 ","23,651 ","24,874 ","25,926 ","26,199 "
　　專業人員,"26,279 ","25,682 ","25,434 ","25,732 ",－,－,－,－,－,－,－,－,"24,957 ","23,878 ","24,750 ","24,988 ","26,500 ","25,795 ","26,224 ","26,467 ","27,536 ","27,957 ","25,091 ","26,250 "
　　技術員及助理專業人員,"23,492 ","23,144 ","25,366 ","24,127 ",－,－,－,－,"21,516 ","20,459 ","24,171 ","21,749 ","23,324 ","22,545 ","24,994 ","23,963 ","24,183 ","24,425 ","26,177 ","25,192 ","25,121 ","25,908 ","27,320 ","26,232 "
　　事務工作人員,"20,554 ","21,038 ","21,549 ","21,997 ","16,985 ","18,344 ","19,263 ","19,822 ","19,216 ","19,281 ","20,161 ","20,272 ","20,780 ","20,802 ","21,596 ","21,683 ","22,059 ","22,465 ","23,184 ","23,606 ","22,701 ","24,903 ","25,438 ","26,151 "
　　服務工作人員及售貨員,"19,684 ","19,413 ","19,384 ","19,465 ","17,994 ","18,107 ","18,142 ","18,731 ","19,302 ","18,731 ","19,085 ","19,099 ","19,919 ","19,553 ","19,816 ","19,925 ","20,606 ","20,196 ","21,000 ","20,393 ","21,178 ","21,999 ",－,－
　　技術工及機械設備操作工,"23,079 ","23,290 ","23,969 ","24,052 ","20,156 ","20,596 ","22,636 ","20,562 ","22,829 ","22,793 ","23,811 ","23,321 ","23,609 ","23,304 ","24,636 ","25,167 ","24,187 ","25,017 ","24,625 ","26,654 ","25,021 ","25,471 ",－,－
　　非技術工及體力工,"18,516 ","18,433 ","18,878 ","18,730 ","17,964 ","18,080 ","18,609 ","18,173 ","19,020 ","18,786 ","19,167 ","19,247 ",－,－,－,－,－,－,－,－,－,－,－,－
金融、保險業,"29,094 ","28,565 ","29,127 ","29,610 ","21,416 ","21,035 ","20,975 ","22,296 ","24,432 ","24,239 ","23,573 ","24,228 ","27,887 ","27,062 ","27,038 ","27,239 ","30,540 ","30,025 ","30,555 ","30,630 ","33,189 ","34,905 ","36,378 ","36,487 "
