各教育程度別無工作經驗者每月平均經常性薪資(平均薪資)(單位：元),,,,,,,,,,,,,,,,,,
,總平均,,,國中及以下,,,高中或高職,,,專科,,,大學,,,研究所及以上,,
　　服務工作人員及售貨員,"19,652 ","19,353 ","19,838 ","18,544 ","18,035 ","18,787 ","19,307 ","18,727 ","19,202 ","20,253 ","19,959 ","20,436 ","20,748 ","20,901 ","20,814 ",－,－,－
　　技術工及機械設備操作工,"21,605 ","24,057 ","23,075 ","19,529 ","21,810 ","21,783 ","20,887 ","22,881 ","22,548 ","22,715 ","24,505 ","23,208 ","23,157 ","26,254 ","25,023 ",－,－,－
　　非技術工及體力工,"19,193 ","18,630 ","19,283 ","18,240 ","18,226 ","18,873 ","19,915 ","19,002 ","19,593 ",－,－,－,－,－,－,－,－,－
金融及保險業,"28,986 ","28,454 ","28,313 ","20,537 ","22,260 ","20,583 ","22,770 ","23,363 ","22,776 ","26,727 ","26,271 ","26,186 ","30,170 ","29,048 ","29,210 ","35,909 ","33,917 ","34,043 "
　　專業人員,"33,511 ","31,844 ","32,051 ",－,－,－,－,－,－,"29,031 ","27,862 ","27,971 ","32,764 ","31,264 ","31,304 ","37,960 ","35,401 ","35,562 "
　　技術員及助理專業人員,"29,988 ","28,984 ","28,915 ",－,－,－,"23,306 ","24,028 ","23,849 ","27,041 ","26,395 ","26,224 ","30,414 ","29,200 ","29,368 ","35,356 ","33,876 ","33,815 "
　　事務工作人員,"27,891 ","27,259 ","27,396 ","20,693 ","22,117 ","20,482 ","22,699 ","22,922 ","22,758 ","25,691 ","25,513 ","25,440 ","28,838 ","27,692 ","28,066 ","34,355 ","32,470 ","32,693 "
　　服務工作人員及售貨員,"24,961 ","25,458 ","23,924 ","20,247 ","23,454 ","19,289 ","22,733 ","23,571 ","21,426 ","25,339 ","25,079 ","24,326 ","28,043 ","27,799 ","26,870 ",－,－,－
　　技術工及機械設備操作工,"25,478 ","25,932 ","25,704 ","21,806 ","22,843 ","22,069 ","23,791 ","24,091 ","23,817 ","25,643 ","26,066 ","26,243 ","28,707 ","28,590 ","28,594 ",－,－,－
　　非技術工及體力工,"20,429 ","21,546 ","20,294 ","19,743 ","20,965 ","20,232 ","20,973 ","21,922 ","20,338 ",－,－,－,－,－,－,－,－,－
醫療保健及社會工作服務業,"24,989 ","25,253 ","25,032 ","19,494 ","19,670 ","19,692 ","21,179 ","21,340 ","21,193 ","24,387 ","24,934 ","24,605 ","27,096 ","27,841 ","27,713 ","32,759 ","32,397 ","32,675 "
　　專業人員,"29,688 ","31,941 ","30,934 ",－,－,－,－,－,－,"26,577 ","28,513 ","27,603 ","29,802 ","32,694 ","31,872 ","35,415 ","36,302 ","35,791 "
　　技術員及助理專業人員,"26,006 ","26,576 ","26,869 ",－,－,－,"22,461 ","22,760 ","22,623 ","24,354 ","25,501 ","25,664 ","27,505 ","27,743 ","28,601 ","31,943 ","31,663 ","32,307 "
　　事務工作人員,"23,069 ","22,610 ","23,000 ","19,557 ","18,948 ","18,979 ","20,107 ","19,948 ","20,478 ","22,477 ","22,037 ","22,250 ","24,832 ","24,250 ","24,878 ","29,736 ","27,875 ","29,042 "
　　服務工作人員及售貨員,"21,220 ","22,037 ","21,751 ","19,556 ","20,216 ","19,706 ","20,645 ","21,313 ","20,750 ","22,149 ","22,501 ","22,013 ","22,518 ","23,996 ","23,928 ",－,－,－
　　技術工及機械設備操作工,"24,028 ","24,546 ","24,674 ","20,806 ","21,605 ","21,420 ","23,832 ","23,721 ","23,726 ","24,565 ","25,176 ","25,357 ","25,979 ","26,748 ","26,829 ",－,－,－
　　非技術工及體力工,"19,498 ","19,466 ","19,610 ","18,712 ","18,809 ","19,414 ","20,176 ","20,091 ","19,751 ",－,－,－,－,－,－,－,－,－
藝術、娛樂及休閒服務業,"21,218 ","21,271 ","21,474 ","18,536 ","19,033 ","18,865 ","19,680 ","19,721 ","20,046 ","21,642 ","21,697 ","21,615 ","23,994 ","23,461 ","23,311 ","27,002 ","26,980 ","27,505 "
　　專業人員,"27,672 ","26,963 ","26,480 ",－,－,－,－,－,－,"25,363 ","25,169 ","25,282 ","28,559 ","26,688 ","26,390 ","30,642 ","30,686 ","28,605 "
　　技術員及助理專業人員,"24,370 ","23,542 ","23,960 ",－,－,－,"21,682 ","20,971 ","22,051 ","23,479 ","23,283 ","23,513 ","26,283 ","24,874 ","24,489 ","27,124 ","26,738 ","27,961 "
　　事務工作人員,"20,919 ","21,261 ","21,109 ","19,069 ","19,318 ","18,981 ","19,782 ","20,032 ","19,952 ","20,987 ","21,366 ","21,018 ","23,093 ","22,947 ","22,207 ","23,498 ","24,333 ","26,054 "
　　服務工作人員及售貨員,"19,403 ","19,957 ","20,038 ","18,241 ","18,650 ","18,514 ","19,113 ","19,203 ","19,591 ","20,100 ","20,610 ","20,113 ","20,515 ","21,800 ","21,905 ",－,－,－
　　技術工及機械設備操作工,"21,764 ","21,666 ","21,829 ","20,957 ","20,268 ","19,979 ","21,189 ","20,991 ","21,439 ","22,975 ","22,430 ","21,896 ","22,748 ","23,272 ","24,172 ",－,－,－
　　非技術工及體力工,"18,232 ","19,160 ","19,055 ","17,811 ","19,012 ","18,800 ","18,758 ","19,296 ","19,237 ",－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,
各教育程度別無工作經驗者每月平均經常性薪資(男性薪資)(單位：元),,,,,,,,,,,,,,,,,,
,總平均,,,國中及以下,,,高中或高職,,,專科,,,大學,,,研究所及以上,,
,97,98,99,97,98,99,97,98,99,97,98,99,97,98,99,97,98,99
住宿及餐飲業,"22,099 ","21,727 ","22,414 ","19,542 ","18,902 ","19,786 ","20,531 ","19,799 ","20,649 ","22,608 ","22,179 ","22,850 ","23,958 ","23,533 ","23,998 ","30,753 ","27,821 ","28,052 "
　　專業人員,"28,640 ","27,388 ","28,599 ",－,－,－,－,－,－,"27,274 ","26,219 ","27,620 ","28,147 ","27,285 ","28,572 ","32,537 ","29,405 ","30,322 "
　　技術員及助理專業人員,"25,758 ","24,813 ","25,776 ",－,－,－,"23,587 ","21,908 ","23,346 ","24,838 ","24,129 ","25,172 ","26,886 ","25,839 ","26,366 ","29,359 ","27,876 ","28,424 "
　　事務工作人員,"23,133 ","22,128 ","22,316 ","20,976 ","19,700 ","18,443 ","21,317 ","20,069 ","20,336 ","23,090 ","22,109 ","22,305 ","24,493 ","22,918 ","23,627 ","29,941 ","26,272 ","26,067 "
　　服務工作人員及售貨員,"20,105 ","19,651 ","20,439 ","19,016 ","18,434 ","19,991 ","19,701 ","18,971 ","19,825 ","20,761 ","20,159 ","20,895 ","20,901 ","21,022 ","21,174 ",－,－,－
　　技術工及機械設備操作工,"22,875 ","23,556 ","24,255 ","20,862 ","21,276 ","22,282 ","22,110 ","22,489 ","24,340 ","23,753 ","24,188 ","24,328 ","25,610 ","25,613 ","25,436 ",－,－,－
　　非技術工及體力工,"19,993 ","19,036 ","19,317 ","19,642 ","18,593 ","18,977 ","20,223 ","19,437 ","19,557 ",－,－,－,－,－,－,－,－,－
金融及保險業,"29,213 ","28,572 ","28,486 ","20,923 ","22,647 ","20,586 ","23,184 ","23,655 ","22,971 ","26,953 ","26,380 ","26,344 ","30,354 ","29,256 ","29,393 ","36,034 ","33,912 ","34,125 "
　　專業人員,"33,426 ","31,856 ","32,195 ",－,－,－,－,－,－,"29,139 ","27,915 ","28,101 ","32,732 ","31,268 ","31,467 ","37,709 ","35,457 ","35,731 "
　　技術員及助理專業人員,"30,087 ","29,059 ","28,905 ",－,－,－,"23,420 ","24,110 ","23,641 ","27,074 ","26,466 ","26,285 ","30,648 ","29,341 ","29,349 ","35,535 ","33,789 ","33,745 "
　　事務工作人員,"28,302 ","27,424 ","27,599 ","20,693 ","22,117 ","20,482 ","23,050 ","23,107 ","22,860 ","25,986 ","25,530 ","25,570 ","29,100 ","28,012 ","28,299 ","34,819 ","32,508 ","32,805 "
　　服務工作人員及售貨員,"25,117 ","25,430 ","24,112 ","20,247 ","23,454 ","19,289 ","22,822 ","23,571 ","21,804 ","25,523 ","25,079 ","24,548 ","28,187 ","27,632 ","26,887 ",－,－,－
　　技術工及機械設備操作工,"26,045 ","26,843 ","26,186 ","22,674 ","24,116 ","22,069 ","24,894 ","25,484 ","24,704 ","26,281 ","26,854 ","26,581 ","28,725 ","29,182 ","29,041 ",－,－,－
　　非技術工及體力工,"20,865 ","21,654 ","20,460 ","20,150 ","20,965 ","20,221 ","21,359 ","22,033 ","20,619 ",－,－,－,－,－,－,－,－,－
醫療保健及社會工作服務業,"26,091 ","25,949 ","25,808 ","19,738 ","19,984 ","20,114 ","22,105 ","22,101 ","21,958 ","25,587 ","25,657 ","25,457 ","28,367 ","28,430 ","28,249 ","32,939 ","32,505 ","32,828 "
　　專業人員,"31,661 ","32,886 ","31,994 ",－,－,－,－,－,－,"28,331 ","29,687 ","29,048 ","32,138 ","33,393 ","32,326 ","35,955 ","36,371 ","35,989 "
　　技術員及助理專業人員,"27,432 ","27,752 ","28,024 ",－,－,－,"23,741 ","24,009 ","23,930 ","25,947 ","26,502 ","26,820 ","28,513 ","28,886 ","29,356 ","31,858 ","31,877 ","32,457 "
　　事務工作人員,"23,998 ","23,277 ","23,656 ","19,586 ","19,083 ","19,333 ","21,312 ","20,670 ","21,062 ","23,494 ","22,611 ","22,737 ","25,518 ","24,739 ","25,313 ","29,563 ","27,872 ","29,129 "
　　服務工作人員及售貨員,"21,406 ","22,121 ","21,858 ","19,664 ","20,082 ","20,229 ","20,947 ","21,302 ","21,080 ","22,221 ","22,759 ","21,999 ","22,834 ","23,956 ","23,809 ",－,－,－
　　技術工及機械設備操作工,"24,231 ","24,906 ","24,818 ","20,713 ","21,908 ","21,823 ","24,404 ","24,082 ","23,751 ","24,757 ","25,699 ","25,491 ","26,009 ","27,064 ","27,147 ",－,－,－
　　非技術工及體力工,"19,947 ","20,007 ","20,048 ","19,296 ","19,318 ","19,563 ","20,510 ","20,593 ","20,373 ",－,－,－,－,－,－,－,－,－
藝術、娛樂及休閒服務業,"21,846 ","21,903 ","21,999 ","19,329 ","19,473 ","19,156 ","20,218 ","20,431 ","20,607 ","22,028 ","22,211 ","22,195 ","24,478 ","23,899 ","23,829 ","27,491 ","27,293 ","27,557 "
　　專業人員,"27,306 ","26,949 ","26,524 ",－,－,－,－,－,－,"24,913 ","25,280 ","25,428 ","28,082 ","26,850 ","26,462 ","30,768 ","30,986 ","28,611 "
　　技術員及助理專業人員,"24,920 ","23,735 ","24,163 ",－,－,－,"22,560 ","21,459 ","21,959 ","24,126 ","23,711 ","24,042 ","26,494 ","24,993 ","24,831 ","28,268 ","26,445 ","27,764 "
　　事務工作人員,"21,348 ","21,815 ","21,619 ","19,286 ","19,686 ","19,165 ","19,992 ","20,582 ","20,406 ","21,399 ","21,745 ","21,370 ","23,893 ","23,483 ","22,771 ","23,492 ","25,204 ","26,376 "
